"visit_date";"utm_source";"utm_medium";"utm_campaign";"visitors_count";"total_cost";"leads_count";"purchases_count";"revenue"
2023-06-03;zen;social;all-courses;1;;0;126;
2023-06-04;vk;cpc;freemium-frontend;226;2538;0;126;
2023-06-04;vk;cpc;prof-python;215;2032;0;126;
2023-06-04;vk;cpc;prof-java;189;1627;0;126;
2023-06-04;tproger;cpc;dod-frontend;157;;0;126;
2023-06-04;vk;cpc;freemium-java;150;1566;0;126;
2023-06-04;vk;cpc;base-python;144;2537;0;126;
2023-06-04;vk;cpc;prof-data-analytics;133;3740;0;126;
2023-06-04;vk;cpc;freemium-python;129;1305;0;126;
2023-06-04;vk;cpc;prof-frontend;113;;0;126;
2023-06-04;telegram;cpp;base-python;53;;0;126;
2023-06-04;admitad;cpa;admitad;37;;0;126;
2023-06-04;vk;cpm;prof-data-analytics;24;701;0;126;
2023-06-04;telegram;cpp;base-frontend;11;;0;126;
2023-06-04;vk;cpm;prof-frontend;11;;0;126;
2023-06-04;vk-senler;cpc;freemium;10;;0;126;
2023-06-04;telegram;cpp;base-java;8;;0;126;
2023-06-04;vk;social;hexlet-blog;4;;0;126;
2023-06-04;telegram;cpp;prof-python;3;;0;126;
2023-06-04;telegram;social;hexlet-blog;2;;0;126;
2023-06-04;vk;cpp;dod-php;2;;0;126;
2023-06-04;vk;social;general;2;;0;126;
2023-06-04;Yandex;cpc;"55670133";1;;0;126;
2023-06-04;admitad;cpc;"183258";1;;0;126;
2023-06-04;admitad;cpc;"442763";1;;0;126;
2023-06-04;instagram;social;base-php;1;;0;126;
2023-06-04;telegram;cpp;intensive-python;1;;0;126;
2023-06-04;telegram;cpp;prof-frontend;1;;0;126;
2023-06-04;telegram;cpp;prof-java;1;;0;126;
2023-06-04;telegram;social;mdtruena-hekslete-poyavilsya-esche-odin-no;1;;0;126;
2023-06-04;telegram;social;special;1;;0;126;
2023-06-04;twitter;social;hexlet-blog;1;;0;126;
2023-06-04;twitter;social;promo;1;;0;126;
2023-06-04;twitter.com;social;svezhiy-vzglyad-na-prohozhdenie-proektov-ot;1;;0;126;
2023-06-04;vk;cpc;freemium;1;;0;126;
2023-06-04;vk;cpc;php;1;;0;126;
2023-06-04;vk;social;all-courses;1;;0;126;
2023-06-04;vk;social;course_completed;1;;0;126;
2023-06-04;vk;social;prof-data-analytics;1;;0;126;
2023-06-04;vk;social;prof-qa;1;;0;126;
2023-06-04;zen;social;promo;1;;0;126;
2023-06-05;vk;cpc;freemium-frontend;191;2538;0;126;
2023-06-05;vk;cpc;prof-java;191;2022;0;126;
2023-06-05;vk;cpc;prof-python;182;5077;0;126;
2023-06-05;vk;cpc;prof-data-analytics;154;3048;0;126;
2023-06-05;vk;cpc;freemium-python;140;1118;0;126;
2023-06-05;vk;cpc;freemium-java;137;397;0;126;
2023-06-05;vk;cpc;base-python;124;1980;0;126;
2023-06-05;vk;cpc;prof-frontend;110;;0;126;
2023-06-05;tproger;cpc;dod-frontend;49;;0;126;
2023-06-05;admitad;cpa;admitad;43;;0;126;
2023-06-05;telegram;cpp;base-python;37;;0;126;
2023-06-05;telegram;cpp;base-frontend;32;;0;126;
2023-06-05;vk;cpm;prof-data-analytics;23;761;0;126;
2023-06-05;telegram;cpp;base-java;18;;0;126;
2023-06-05;vk-senler;cpc;dod-php;12;;0;126;
2023-06-05;vk-senler;cpc;freemium;7;;0;126;
2023-06-05;telegram;cpp;dod-java;5;;0;126;
2023-06-05;vk;social;base-java;5;;0;126;
2023-06-05;telegram;cpp;prof-java;4;;0;126;
2023-06-05;telegram;cpp;prof-python;4;;0;126;
2023-06-05;vk;cpp;dod-php;4;;0;126;
2023-06-05;vk;cpm;prof-frontend;3;;0;126;
2023-06-05;vk;social;all-courses;3;;0;126;
2023-06-05;vk;social;base-python;3;;0;126;
2023-06-05;vk;social;hexlet-blog;3;;0;126;
2023-06-05;telegram;social;course_completed;2;;0;126;
2023-06-05;telegram;social;hexlet-blog;2;;0;126;
2023-06-05;vc;cpp;dod-frontend;2;;0;126;
2023-06-05;Yandex;cpc;"16951197";1;;0;126;
2023-06-05;Yandex;cpc;"67652027";1;;0;126;
2023-06-05;facebook;cpc;frontend;1;;0;126;
2023-06-05;google;cpc;frontend;1;;0;126;
2023-06-05;instagram;social;prof-data-analyst;1;;0;126;
2023-06-05;podcast;social;unpack;1;;0;126;
2023-06-05;telegram;cpm;base;1;;0;126;
2023-06-05;telegram;cpm;frontend;1;;0;126;
2023-06-05;telegram;cpp;prof-frontend;1;;0;126;
2023-06-05;twitter;social;promo;1;;0;126;
2023-06-05;vc;cpp;dod-php;1;;0;126;
2023-06-05;vk;cpm;base;1;;0;126;
2023-06-05;vk;cpp;dod-frontend;1;;0;126;
2023-06-05;vk;social;base-frontend;1;;0;126;
2023-06-05;vk;social;dod-php;1;;0;126;
2023-06-05;vk;social;general;1;;0;126;
2023-06-05;vk;social;planiruy-uchebu--fokusiruysya-na-protsesse;1;;0;126;
2023-06-05;vk;social;prof-data-analyst;1;;0;126;
2023-06-05;vk;social;prof-frontend;1;;0;126;
2023-06-05;vk-senler;cpc;dod-professions;1;;0;126;
2023-06-05;yandex-direct;cpc;"08062768";1;;0;126;
2023-06-05;zen;social;hexlet-blog;1;;0;126;
2023-06-06;vk;cpc;prof-python;186;5078;0;126;
2023-06-06;vk;cpc;freemium-frontend;172;3348;0;126;
2023-06-06;vk;cpc;prof-java;159;1137;0;126;
2023-06-06;vk;cpc;freemium-java;140;1916;0;126;
2023-06-06;vk;cpc;prof-data-analytics;134;3044;0;126;
2023-06-06;vk;cpc;base-python;121;3301;0;126;
2023-06-06;vk;cpc;prof-frontend;111;;0;126;
2023-06-06;vk;cpc;freemium-python;105;1854;0;126;
2023-06-06;telegram;cpp;base-frontend;53;;0;126;
2023-06-06;admitad;cpa;admitad;40;;0;126;
2023-06-06;telegram;cpp;base-python;20;;0;126;
2023-06-06;vk-senler;cpc;freemium;18;;0;126;
2023-06-06;vk;cpm;prof-data-analytics;13;759;0;126;
2023-06-06;telegram;cpp;base-java;12;;0;126;
2023-06-06;tproger;cpc;dod-frontend;8;;0;126;
2023-06-06;vk;cpp;base-frontend;7;;0;126;
2023-06-06;vk;social;base-java;5;;0;126;
2023-06-06;telegram;cpp;dod-java;4;;0;126;
2023-06-06;telegram;cpp;prof-java;3;;0;126;
2023-06-06;telegram;social;course_completed;3;;0;126;
2023-06-06;vk;cpp;dod-php;3;;0;126;
2023-06-06;vk;social;prof-frontend;3;;0;126;
2023-06-06;google;cpc;frontend;2;;0;126;
2023-06-06;telegram;cpp;prof-python;2;;0;126;
2023-06-06;vk;cpc;freemium;2;;0;126;
2023-06-06;vk;social;general;2;;0;126;
2023-06-06;admitad;cpc;"183258";1;;0;126;
2023-06-06;instagram;social;all-courses;1;;0;126;
2023-06-06;slack;social;base_alg;1;;0;126;
2023-06-06;telegram;cpm;python;1;;0;126;
2023-06-06;telegram;cpp;base-php;1;;0;126;
2023-06-06;telegram;cpp;prof-data-analytics;1;;0;126;
2023-06-06;telegram;cpp;prof-frontend;1;;0;126;
2023-06-06;twitter;social;course_completed;1;;0;126;
2023-06-06;twitter;social;hexlet-blog;1;;0;126;
2023-06-06;vk;cpc;python;1;;0;126;
2023-06-06;vk;social;all-courses;1;;0;126;
2023-06-06;vk;social;base-python;1;;0;126;
2023-06-06;vk;social;dod-frontend;1;;0;126;
2023-06-06;vk;social;dod-php;1;;0;126;
2023-06-06;vk;social;hexlet.io/my;1;;0;126;
2023-06-06;vk;social;kak-dzhunu-napisat-soprovoditelnoe-pis;1;;0;126;
2023-06-06;vk;social;prof-rails;1;;0;126;
2023-06-06;vk;social;reshenie-zadach--horoshiy-sposob-zakrepit;1;;0;126;
2023-06-06;vk-senler;cpc;dod-php;1;;0;126;
2023-06-06;vk.com;social;na-hekslete-poyavilas-novaya-professiya-v;1;;0;126;
2023-06-06;yandex-direct;cpc;"68583881";1;;0;126;
2023-06-07;vk;cpc;prof-python;190;5079;0;126;
2023-06-07;vk;cpc;freemium-frontend;167;2535;0;126;
2023-06-07;vk;cpc;prof-java;166;1126;0;126;
2023-06-07;vk;cpc;freemium-java;113;2532;0;126;
2023-06-07;vk;cpc;freemium-python;110;2916;0;126;
2023-06-07;vk;cpc;prof-data-analytics;110;3048;0;126;
2023-06-07;vk;cpc;base-python;107;2516;0;126;
2023-06-07;vk;cpc;prof-frontend;94;;0;126;
2023-06-07;admitad;cpa;admitad;55;;0;126;
2023-06-07;telegram;cpp;base-frontend;38;;0;126;
2023-06-07;vk-senler;cpc;freemium;19;;0;126;
2023-06-07;telegram;cpp;base-python;13;;0;126;
2023-06-07;vk;cpm;prof-data-analytics;12;762;0;126;
2023-06-07;tproger;cpc;dod-frontend;9;;0;126;
2023-06-07;vk;cpp;base-frontend;9;;0;126;
2023-06-07;telegram;cpp;prof-java;7;;0;126;
2023-06-07;vk;social;base-python;7;;0;126;
2023-06-07;telegram;cpp;base-java;4;;0;126;
2023-06-07;telegram;social;promo;2;;0;126;
2023-06-07;vk;social;base-java;2;;0;126;
2023-06-07;vk;social;general;2;;0;126;
2023-06-07;vk;social;hexlet-blog;2;;0;126;
2023-06-07;vk;social;prof-python;2;;0;126;
2023-06-07;botmother;tg;frontend;1;;0;126;
2023-06-07;facebook;cpc;python;1;;0;126;
2023-06-07;facebook;social;course_completed;1;;0;126;
2023-06-07;instagram;social;hexlet-blog;1;;0;126;
2023-06-07;instagram;social;prof-python;1;;0;126;
2023-06-07;instagram;social;taplink;1;;0;126;
2023-06-07;public;social;open_lectures23;1;;0;126;
2023-06-07;telegram;cpm;java;1;;0;126;
2023-06-07;telegram;cpp;dod-frontend;1;;0;126;
2023-06-07;telegram;cpp;prof-frontend;1;;0;126;
2023-06-07;telegram;social;base-python;1;;0;126;
2023-06-07;telegram;social;glavnye-instrumenty--servisy-i-podhody;1;;0;126;
2023-06-07;telegram;social;hexlet-blog;1;;0;126;
2023-06-07;telegram;social;;1;;0;126;
2023-06-07;vk;cpc;base;1;;0;126;
